Aeromonas_hydrophila_ATCC7966;Aeromonas_hydrophila_ATCC7966c;Escherichia_coli_K12;Escherichia_coli_K12y
0;0;15;11
0;1;17;11
7;12;1;0
7;11;4;0
0;0;17;11
0;1;4;0
7;12;2;0
0;0;2;0
0;0;2;0
21;36;2;0
0;0;0;0
0;0;0;0
0;0;1;0
7;13;1;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
